正在生成 10000 道四则运算题目 (数值范围: [0, 100))...
生成完毕！
  - 题目文件已生成: Exercises.txt (10000 题)
  - 答案文件已生成: Answers.txt (10000 题)
         2468628 function calls (2307884 primitive calls) in 1.144 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       17    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
        7    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        3    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
        5    0.000    0.000    0.000    0.000 argparse.py:610(format)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
        1    0.000    0.000    0.000    0.000 argparse.py:1684(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1299(FileType)
        9    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        2    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        2    0.000    0.000    0.000    0.000 argparse.py:2378(_get_nargs_pattern)
        5    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 argparse.py:601(_metavar_formatter)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        5    0.000    0.000    0.000    0.000 argparse.py:218(__init__)
        5    0.000    0.000    0.000    0.000 argparse.py:1646(_check_conflict)
